Quantity,Item,Price (CAD),Vendor,Link
2,RP Pico 2040,6.42,Aliexpress,https://www.aliexpress.com/item/1005008555896373.html
1,40 PCS kailh box V2(switches),14.32,Aliexpress,https://www.aliexpress.com/item/1005005704076690.html
1,4 PCS Plate Mounted Stabilizers 1.2mm and 1.6mm,5.31,Aliexpress,
1,100 PCS Through Hole Diodes (1N4148),2.74,Aliexpress,https://www.aliexpress.com/item/1005007970187200.html
2,0.91 Inch 128x32 Oled Display,5.00,Aliexpress,https://www.aliexpress.com/item/32709141534.html
1,61 PCS Blank full-keyboard keycaps,2.40,Aliexpress,
1,10 PCS PJ-320A Jack Receptacle,1.58,Aliexpress,https://www.aliexpress.com/item/1005004960903273.html
1,30 PCS 5x2mm Neodyum Disc Magnets,3.62,Aliexpress,https://www.aliexpress.com/item/1005009246377768.html
1,PCB Manufacturing,10.00,JLCPCB,
1,3D Manufacturing,,PrintingLegion,
Quantity,Item,Price (CAD),Vendor,Link
2,RP Pico 2040,6.42,Aliexpress,https://www.aliexpress.com/item/1005008555896373.html
1,40 PCS kailh box V2(switches),14.32,Aliexpress,https://www.aliexpress.com/item/1005005704076690.html
1,4 PCS Plate Mounted Stabilizers 1.2mm and 1.6mm,5.31,Aliexpress,
1,100 PCS Through Hole Diodes (1N4148),2.74,Aliexpress,https://www.aliexpress.com/item/1005007970187200.html
2,0.91 Inch 128x32 Oled Display,5.00,Aliexpress,https://www.aliexpress.com/item/32709141534.html
1,61 PCS Blank full-keyboard keycaps,2.40,Aliexpress,
1,10 PCS PJ-320A Jack Receptacle,1.58,Aliexpress,https://www.aliexpress.com/item/1005004960903273.html
1,30 PCS 5x2mm Neodyum Disc Magnets,3.62,Aliexpress,https://www.aliexpress.com/item/1005009246377768.html
1,PCB Manufacturing,10.00,JLCPCB,
1,3D Manufacturing,,PrintingLegion,
