Quantity,Item,Price (CAD),Vendor,Link,Total(CAD after taxes and after 20$ JLPCB Coupon), Total(USD after taxes and after 20$ JLcPCB Coupon)
2,RP Pico 2040 Green with Pin,6.42,Aliexpress,https://shorturl.at/I2swX,,
1,40 PCS kailh box V2 (linear switches),1.38 (with welcome deal),Aliexpress,https://www.aliexpress.com/item/1005005704076690.html,,
1,100 PCS Through Hole Diodes (1N4148),2.80,Aliexpress,https://shorturl.at/UQSGh,,
2,0.91 Inch 128x32 Oled Display,5.00,Aliexpress,https://www.aliexpress.com/item/32709141534.html,,
2,20 pcs Blank DSA Keycaps,12.5,Aliexpress,https://shorturl.at/4GHxS,,
1,10 PCS PJ-320A Jack Receptacle,1.58,Aliexpress,https://www.aliexpress.com/item/1005004960903273.html,,
1,20 pcs SW-Push 6x6x4.3mm,0.26,Aliexpress,https://shorturl.at/fNnse,,
1,50 pcs Brass Female to Female Standoffs M2x3mm,2.72,Aliexpress,https://shorturl.at/DMM1S,,
1,50 pcs Nylon Female to Female Standoffs M2x6mm,1.28,Aliexpress,https://shorturl.at/DEXHc,,
2,50 pcs M2 5mm and M2 10 mm,4.5,Aliexpress,https://shorturl.at/Y6ADS,,
1,Antislip Circular Pads 2mm,2.97,Aliexpress,https://shorturl.at/uavc9,,
1,PCB Manufacturing Center,13.04 (without coupon),JLCPCB,,,
1,PCB Manufacturing Top,12.64 (without coupon),JLCPCB,,,
1,PCB Manufacturing Bottom,12.50 (without coupon),JLCPCB,,
,,,,,69, 50.69



